"","decimalLatitude","decimalLongitude","year"
"729",-54.8444,-64.6801,2017
"730",-51.7158,-61.3121,2017
"731",-51.3568,-60.705,2017
"732",-51.3568,-60.705,2017
"733",-51.3568,-60.705,2017
"734",-52.2227,-58.8819,2017
"735",-54.6525,-65.5573,2017
"736",-54.5496,-66.1696,2017
"737",-51.2941,-60.5388,2017
"738",-55.4488,-67.0539,2017
"739",-51.2941,-60.5388,2017
"740",-51.2941,-60.5388,2017
"741",-51.7379,-61.307,2017
"742",-54.966635,-64.623587,2017
"743",-51.232,-60.6374,2017
"744",-51.2813,-60.566,2017
"745",-51.291701,-60.555839,2017
"746",-51.313131,-60.527875,2017
"747",-52.4291,-59.0922,2018
"748",-52.4291,-59.0922,2018
"749",-52.4291,-59.0922,2018
"750",-51.3077,-60.2333,2018
"751",-51.3059,-60.1052,2018
"752",-51.4798,-57.8338,2018
"753",-51.3077,-60.2333,2018
"754",-51.3568,-60.705,2018
"755",-51.3077,-60.2333,2018
"756",-51.788,-58.2301,2018
"757",-52.4291,-59.0922,2018
"758",-52.2227,-58.8819,2018
"759",-51.788,-58.2301,2018
"760",-55.813,-66.7991,2018
"761",-51.3077,-60.2333,2018
"762",-52.4291,-59.0922,2018
"763",-51.3619,-60.0819,2018
"764",-52.1675,-60.9256,2018
"765",-52.2227,-58.8819,2018
"766",-52.4291,-59.0922,2018
"767",-51.7213,-61.3006,2018
"768",-51.3188,-59.5853,2018
"769",-51.2941,-60.5388,2018
"770",-51.7379,-61.307,2018
"771",-51.2941,-60.5388,2018
"772",-52.4291,-59.0922,2018
"773",-51.2713,-60.2853,2018
"774",-51.3077,-60.2333,2018
"775",-52.2227,-58.8819,2018
"776",-52.4291,-59.0922,2018
"777",-51.3568,-60.705,2018
"778",-51.3568,-60.705,2018
"779",-51.3077,-60.5186,2018
"780",-52.1675,-60.9256,2018
"781",-51.3478,-60.71,2018
"782",-51.3651,-60.0841,2018
"783",-52.1675,-60.9256,2018
"784",-52.1675,-60.9256,2018
